Promoter,,Promoter,Share,BSE Code,NSE Code,Price,MCap,TotalShares,CaptureDate,Date,Share_Change,ch
President Of India,342675,President Of India,36.85,500191,HMT,90.4,32140000000.0,355530973.4513274,Dec 2021,01-12-2021,-35.15748724265353,Down
President Of India,342676,President Of India,56.83,500191,HMT,90.4,32140000000.0,355530973.4513274,Mar 2022,01-03-2022,54.21981004070555,UP
President Of India,342677,President Of India,36.85,500191,HMT,90.4,32140000000.0,355530973.4513274,Mar 2022,01-03-2022,-35.15748724265353,Down
President Of India,342678,President Of India,56.83,500191,HMT,90.4,32140000000.0,355530973.4513274,Jun 2022,01-06-2022,54.21981004070555,UP
President Of India,342679,President Of India,36.85,500191,HMT,90.4,32140000000.0,355530973.4513274,Jun 2022,01-06-2022,-35.15748724265353,Down
President Of India,342680,President Of India,56.83,500191,HMT,90.4,32140000000.0,355530973.4513274,Sep 2022,01-09-2022,54.21981004070555,UP
President Of India,342681,President Of India,36.85,500191,HMT,90.4,32140000000.0,355530973.4513274,Sep 2022,01-09-2022,-35.15748724265353,Down
President Of India,342682,President Of India,56.83,500191,HMT,90.4,32140000000.0,355530973.4513274,Dec 2022,01-12-2022,54.21981004070555,UP
President Of India,342683,President Of India,36.85,500191,HMT,90.4,32140000000.0,355530973.4513274,Dec 2022,01-12-2022,-35.15748724265353,Down
President Of India,342684,President Of India,56.83,500191,HMT,90.4,32140000000.0,355530973.4513274,Mar 2023,01-03-2023,54.21981004070555,UP
President Of India,342685,President Of India,36.85,500191,HMT,90.4,32140000000.0,355530973.4513274,Mar 2023,01-03-2023,-35.15748724265353,Down
President Of India,342686,President Of India,56.83,500191,HMT,90.4,32140000000.0,355530973.4513274,Jun 2023,01-06-2023,54.21981004070555,UP
President Of India,342687,President Of India,36.85,500191,HMT,90.4,32140000000.0,355530973.4513274,Jun 2023,01-06-2023,-35.15748724265353,Down
President Of India,342688,President Of India,56.83,500191,HMT,90.4,32140000000.0,355530973.4513274,Sep 2023,01-09-2023,54.21981004070555,UP
President Of India,342689,President Of India,36.85,500191,HMT,90.4,32140000000.0,355530973.4513274,Sep 2023,01-09-2023,-35.15748724265353,Down
President Of India,342690,President Of India,56.83,500191,HMT,90.4,32140000000.0,355530973.4513274,Dec 2023,01-12-2023,54.21981004070555,UP
President Of India,342691,President Of India,36.85,500191,HMT,90.4,32140000000.0,355530973.4513274,Dec 2023,01-12-2023,-35.15748724265353,Down
President Of India,342692,President Of India,56.83,500191,HMT,90.4,32140000000.0,355530973.4513274,Mar 2024,01-03-2024,54.21981004070555,UP
President Of India,342693,President Of India,36.85,500191,HMT,90.4,32140000000.0,355530973.4513274,Mar 2024,01-03-2024,-35.15748724265353,Down
President Of India,342694,President Of India,56.83,500191,HMT,90.4,32140000000.0,355530973.4513274,Jun 2024,01-06-2024,54.21981004070555,UP
President Of India,342695,President Of India,36.85,500191,HMT,90.4,32140000000.0,355530973.4513274,Jun 2024,01-06-2024,-35.15748724265353,Down
President Of India,350461,President Of India,75.0,524230,RCF,199.0,109620000000.0,550854271.3567839,Sep 2021,01-09-2021,103.52781546811399,UP
President Of India,350462,President Of India,75.0,524230,RCF,199.0,109620000000.0,550854271.3567839,Dec 2021,01-12-2021,0.0,EQUAL
President Of India,350463,President Of India,75.0,524230,RCF,199.0,109620000000.0,550854271.3567839,Mar 2022,01-03-2022,0.0,EQUAL
President Of India,350464,President Of India,75.0,524230,RCF,199.0,109620000000.0,550854271.3567839,Jun 2022,01-06-2022,0.0,EQUAL
President Of India,350465,President Of India,75.0,524230,RCF,199.0,109620000000.0,550854271.3567839,Sep 2022,01-09-2022,0.0,EQUAL
President Of India,350466,President Of India,75.0,524230,RCF,199.0,109620000000.0,550854271.3567839,Dec 2022,01-12-2022,0.0,EQUAL
President Of India,350467,President Of India,75.0,524230,RCF,199.0,109620000000.0,550854271.3567839,Mar 2023,01-03-2023,0.0,EQUAL
President Of India,350468,President Of India,75.0,524230,RCF,199.0,109620000000.0,550854271.3567839,Jun 2023,01-06-2023,0.0,EQUAL
President Of India,350469,President Of India,75.0,524230,RCF,199.0,109620000000.0,550854271.3567839,Sep 2023,01-09-2023,0.0,EQUAL
President Of India,350470,President Of India,75.0,524230,RCF,199.0,109620000000.0,550854271.3567839,Dec 2023,01-12-2023,0.0,EQUAL
President Of India,350471,President Of India,75.0,524230,RCF,199.0,109620000000.0,550854271.3567839,Mar 2024,01-03-2024,0.0,EQUAL
President Of India,350472,President Of India,75.0,524230,RCF,199.0,109620000000.0,550854271.3567839,Jun 2024,01-06-2024,0.0,EQUAL
President Of India,358653,President Of India,49.4,532898,POWERGRID,336.0,3127330000000.0,9307529761.904762,Sep 2021,01-09-2021,-34.13333333333334,Down
President Of India,358654,President Of India,1.94,532898,POWERGRID,336.0,3127330000000.0,9307529761.904762,Sep 2021,01-09-2021,-96.07287449392713,Down
President Of India,358655,President Of India,49.4,532898,POWERGRID,336.0,3127330000000.0,9307529761.904762,Dec 2021,01-12-2021,2446.3917525773195,UP
President Of India,358656,President Of India,1.94,532898,POWERGRID,336.0,3127330000000.0,9307529761.904762,Dec 2021,01-12-2021,-96.07287449392713,Down
President Of India,358657,President Of India,49.4,532898,POWERGRID,336.0,3127330000000.0,9307529761.904762,Mar 2022,01-03-2022,2446.3917525773195,UP
President Of India,358658,President Of India,1.94,532898,POWERGRID,336.0,3127330000000.0,9307529761.904762,Mar 2022,01-03-2022,-96.07287449392713,Down
President Of India,358659,President Of India,49.4,532898,POWERGRID,336.0,3127330000000.0,9307529761.904762,Jun 2022,01-06-2022,2446.3917525773195,UP
President Of India,358660,President Of India,1.94,532898,POWERGRID,336.0,3127330000000.0,9307529761.904762,Jun 2022,01-06-2022,-96.07287449392713,Down
President Of India,358661,President Of India,49.4,532898,POWERGRID,336.0,3127330000000.0,9307529761.904762,Sep 2022,01-09-2022,2446.3917525773195,UP
President Of India,358662,President Of India,1.94,532898,POWERGRID,336.0,3127330000000.0,9307529761.904762,Sep 2022,01-09-2022,-96.07287449392713,Down
President Of India,358663,President Of India,49.4,532898,POWERGRID,336.0,3127330000000.0,9307529761.904762,Dec 2022,01-12-2022,2446.3917525773195,UP
President Of India,358664,President Of India,1.94,532898,POWERGRID,336.0,3127330000000.0,9307529761.904762,Dec 2022,01-12-2022,-96.07287449392713,Down
President Of India,358665,President Of India,49.4,532898,POWERGRID,336.0,3127330000000.0,9307529761.904762,Mar 2023,01-03-2023,2446.3917525773195,UP
President Of India,358666,President Of India,1.94,532898,POWERGRID,336.0,3127330000000.0,9307529761.904762,Mar 2023,01-03-2023,-96.07287449392713,Down
President Of India,358667,President Of India,49.4,532898,POWERGRID,336.0,3127330000000.0,9307529761.904762,Jun 2023,01-06-2023,2446.3917525773195,UP
President Of India,358668,President Of India,1.94,532898,POWERGRID,336.0,3127330000000.0,9307529761.904762,Jun 2023,01-06-2023,-96.07287449392713,Down
President Of India,358669,President Of India,49.4,532898,POWERGRID,336.0,3127330000000.0,9307529761.904762,Sep 2023,01-09-2023,2446.3917525773195,UP
President Of India,358670,President Of India,1.94,532898,POWERGRID,336.0,3127330000000.0,9307529761.904762,Sep 2023,01-09-2023,-96.07287449392713,Down
President Of India,358671,President Of India,49.4,532898,POWERGRID,336.0,3127330000000.0,9307529761.904762,Dec 2023,01-12-2023,2446.3917525773195,UP
President Of India,358672,President Of India,1.94,532898,POWERGRID,336.0,3127330000000.0,9307529761.904762,Dec 2023,01-12-2023,-96.07287449392713,Down
President Of India,358673,President Of India,49.4,532898,POWERGRID,336.0,3127330000000.0,9307529761.904762,Mar 2024,01-03-2024,2446.3917525773195,UP
President Of India,358674,President Of India,1.94,532898,POWERGRID,336.0,3127330000000.0,9307529761.904762,Mar 2024,01-03-2024,-96.07287449392713,Down
President Of India,358675,President Of India,49.4,532898,POWERGRID,336.0,3127330000000.0,9307529761.904762,Jun 2024,01-06-2024,2446.3917525773195,UP
President Of India,358676,President Of India,1.94,532898,POWERGRID,336.0,3127330000000.0,9307529761.904762,Jun 2024,01-06-2024,-96.07287449392713,Down
President Of India,387366,President Of India,70.95,533098,NHPC,97.1,975270000000.0,10043975283.213182,Sep 2021,01-09-2021,3557.216494845361,UP
President Of India,387367,President Of India,70.95,533098,NHPC,97.1,975270000000.0,10043975283.213182,Dec 2021,01-12-2021,0.0,EQUAL
President Of India,387368,President Of India,70.95,533098,NHPC,97.1,975270000000.0,10043975283.213182,Mar 2022,01-03-2022,0.0,EQUAL
President Of India,387369,President Of India,70.95,533098,NHPC,97.1,975270000000.0,10043975283.213182,Jun 2022,01-06-2022,0.0,EQUAL
President Of India,387370,President Of India,70.95,533098,NHPC,97.1,975270000000.0,10043975283.213182,Sep 2022,01-09-2022,0.0,EQUAL
President Of India,387371,President Of India,70.95,533098,NHPC,97.1,975270000000.0,10043975283.213182,Dec 2022,01-12-2022,0.0,EQUAL
President Of India,387372,President Of India,70.95,533098,NHPC,97.1,975270000000.0,10043975283.213182,Mar 2023,01-03-2023,0.0,EQUAL
President Of India,387373,President Of India,70.95,533098,NHPC,97.1,975270000000.0,10043975283.213182,Jun 2023,01-06-2023,0.0,EQUAL
President Of India,387374,President Of India,70.95,533098,NHPC,97.1,975270000000.0,10043975283.213182,Sep 2023,01-09-2023,0.0,EQUAL
President Of India,387375,President Of India,70.95,533098,NHPC,97.1,975270000000.0,10043975283.213182,Dec 2023,01-12-2023,0.0,EQUAL
President Of India,387376,President Of India,67.4,533098,NHPC,97.1,975270000000.0,10043975283.213182,Mar 2024,01-03-2024,-5.003523608174765,Down
President Of India,387377,President Of India,67.4,533098,NHPC,97.1,975270000000.0,10043975283.213182,Jun 2024,01-06-2024,0.0,EQUAL
President Of India,389606,President Of India,59.67,532485,,93.8,20830000000.0,222068230.2771855,Dec 2021,01-12-2021,-11.46884272997033,Down
President Of India,389607,President Of India,59.67,532485,,93.8,20830000000.0,222068230.2771855,Mar 2022,01-03-2022,0.0,EQUAL
President Of India,389608,President Of India,59.67,532485,,93.8,20830000000.0,222068230.2771855,Jun 2022,01-06-2022,0.0,EQUAL
President Of India,389609,President Of India,59.67,532485,,93.8,20830000000.0,222068230.2771855,Sep 2022,01-09-2022,0.0,EQUAL
President Of India,389610,President Of India,59.67,532485,,93.8,20830000000.0,222068230.2771855,Dec 2022,01-12-2022,0.0,EQUAL
President Of India,389611,President Of India,59.67,532485,,93.8,20830000000.0,222068230.2771855,Mar 2023,01-03-2023,0.0,EQUAL
President Of India,389612,President Of India,59.67,532485,,93.8,20830000000.0,222068230.2771855,Jun 2023,01-06-2023,0.0,EQUAL
President Of India,389613,President Of India,59.67,532485,,93.8,20830000000.0,222068230.2771855,Sep 2023,01-09-2023,0.0,EQUAL
President Of India,389614,President Of India,59.67,532485,,93.8,20830000000.0,222068230.2771855,Dec 2023,01-12-2023,0.0,EQUAL
President Of India,389615,President Of India,59.67,532485,,93.8,20830000000.0,222068230.2771855,Mar 2024,01-03-2024,0.0,EQUAL
President Of India,389616,President Of India,59.67,532485,,93.8,20830000000.0,222068230.2771855,Jun 2024,01-06-2024,0.0,EQUAL
President Of India,389617,President Of India,59.67,532485,,93.8,20830000000.0,222068230.2771855,Aug 2024,01-08-2024,0.0,EQUAL
President Of India,416284,President Of India,59.25,524663,,30.1,1300000000.0,43189368.77076412,Jun 2021,01-06-2021,-0.7038712921065837,Down
President Of India,416292,President Of India,59.25,524663,,30.1,1300000000.0,43189368.77076412,Sep 2021,01-09-2021,0.0,EQUAL
President Of India,416300,President Of India,59.25,524663,,30.1,1300000000.0,43189368.77076412,Dec 2021,01-12-2021,0.0,EQUAL
President Of India,416308,President Of India,59.25,524663,,30.1,1300000000.0,43189368.77076412,Mar 2022,01-03-2022,0.0,EQUAL
President Of India,416316,President Of India,59.25,524663,,30.1,1300000000.0,43189368.77076412,Jun 2022,01-06-2022,0.0,EQUAL
President Of India,416324,President Of India,59.25,524663,,30.1,1300000000.0,43189368.77076412,Sep 2022,01-09-2022,0.0,EQUAL
President Of India,416332,President Of India,59.25,524663,,30.1,1300000000.0,43189368.77076412,Dec 2022,01-12-2022,0.0,EQUAL
President Of India,416340,President Of India,59.25,524663,,30.1,1300000000.0,43189368.77076412,Mar 2023,01-03-2023,0.0,EQUAL
President Of India,416348,President Of India,59.25,524663,,30.1,1300000000.0,43189368.77076412,Jun 2023,01-06-2023,0.0,EQUAL
President Of India,416356,President Of India,59.25,524663,,30.1,1300000000.0,43189368.77076412,Sep 2023,01-09-2023,0.0,EQUAL
President Of India,416364,President Of India,59.25,524663,,30.1,1300000000.0,43189368.77076412,Dec 2023,01-12-2023,0.0,EQUAL
President Of India,416372,President Of India,59.25,524663,,30.1,1300000000.0,43189368.77076412,Mar 2024,01-03-2024,0.0,EQUAL
President Of India,430780,President Of India,79.2,513683,NLCINDIA,275.0,381950000000.0,1388909090.909091,Sep 2021,01-09-2021,33.67088607594937,UP
President Of India,430781,President Of India,79.2,513683,NLCINDIA,275.0,381950000000.0,1388909090.909091,Dec 2021,01-12-2021,0.0,EQUAL
President Of India,430782,President Of India,79.2,513683,NLCINDIA,275.0,381950000000.0,1388909090.909091,Mar 2022,01-03-2022,0.0,EQUAL
President Of India,430783,President Of India,79.2,513683,NLCINDIA,275.0,381950000000.0,1388909090.909091,Jun 2022,01-06-2022,0.0,EQUAL
President Of India,430784,President Of India,79.2,513683,NLCINDIA,275.0,381950000000.0,1388909090.909091,Sep 2022,01-09-2022,0.0,EQUAL
President Of India,430785,President Of India,79.2,513683,NLCINDIA,275.0,381950000000.0,1388909090.909091,Dec 2022,01-12-2022,0.0,EQUAL
President Of India,430786,President Of India,79.2,513683,NLCINDIA,275.0,381950000000.0,1388909090.909091,Mar 2023,01-03-2023,0.0,EQUAL
President Of India,430787,President Of India,79.2,513683,NLCINDIA,275.0,381950000000.0,1388909090.909091,Jun 2023,01-06-2023,0.0,EQUAL
President Of India,430788,President Of India,79.2,513683,NLCINDIA,275.0,381950000000.0,1388909090.909091,Sep 2023,01-09-2023,0.0,EQUAL
President Of India,430789,President Of India,79.2,513683,NLCINDIA,275.0,381950000000.0,1388909090.909091,Dec 2023,01-12-2023,0.0,EQUAL
President Of India,430790,President Of India,72.2,513683,NLCINDIA,275.0,381950000000.0,1388909090.909091,Mar 2024,01-03-2024,-8.838383838383834,Down
President Of India,430791,President Of India,72.2,513683,NLCINDIA,275.0,381950000000.0,1388909090.909091,Jun 2024,01-06-2024,0.0,EQUAL
President Of India,432264,President Of India,51.14,500049,BEL,306.0,2236790000000.0,7309771241.830066,Sep 2021,01-09-2021,-29.168975069252078,Down
President Of India,432265,President Of India,51.14,500049,BEL,306.0,2236790000000.0,7309771241.830066,Dec 2021,01-12-2021,0.0,EQUAL
President Of India,432266,President Of India,51.14,500049,BEL,306.0,2236790000000.0,7309771241.830066,Mar 2022,01-03-2022,0.0,EQUAL
President Of India,432267,President Of India,51.14,500049,BEL,306.0,2236790000000.0,7309771241.830066,Jun 2022,01-06-2022,0.0,EQUAL
President Of India,432268,President Of India,51.14,500049,BEL,306.0,2236790000000.0,7309771241.830066,Sep 2022,01-09-2022,0.0,EQUAL
President Of India,432269,President Of India,51.14,500049,BEL,306.0,2236790000000.0,7309771241.830066,Dec 2022,01-12-2022,0.0,EQUAL
President Of India,432270,President Of India,51.14,500049,BEL,306.0,2236790000000.0,7309771241.830066,Mar 2023,01-03-2023,0.0,EQUAL
President Of India,432271,President Of India,51.14,500049,BEL,306.0,2236790000000.0,7309771241.830066,Jun 2023,01-06-2023,0.0,EQUAL
President Of India,432272,President Of India,51.14,500049,BEL,306.0,2236790000000.0,7309771241.830066,Sep 2023,01-09-2023,0.0,EQUAL
President Of India,432273,President Of India,51.14,500049,BEL,306.0,2236790000000.0,7309771241.830066,Dec 2023,01-12-2023,0.0,EQUAL
President Of India,432274,President Of India,51.14,500049,BEL,306.0,2236790000000.0,7309771241.830066,Mar 2024,01-03-2024,0.0,EQUAL
President Of India,432275,President Of India,51.14,500049,BEL,306.0,2236790000000.0,7309771241.830066,Jun 2024,01-06-2024,0.0,EQUAL
President Of India,432725,President Of India,93.08,532885,CENTRALBK,60.2,522420000000.0,8678073089.700996,Sep 2021,01-09-2021,82.01016816581932,UP
President Of India,432726,President Of India,93.08,532885,CENTRALBK,60.2,522420000000.0,8678073089.700996,Dec 2021,01-12-2021,0.0,EQUAL
President Of India,432727,President Of India,93.08,532885,CENTRALBK,60.2,522420000000.0,8678073089.700996,Mar 2022,01-03-2022,0.0,EQUAL
President Of India,432728,President Of India,93.08,532885,CENTRALBK,60.2,522420000000.0,8678073089.700996,Jun 2022,01-06-2022,0.0,EQUAL
President Of India,432729,President Of India,93.08,532885,CENTRALBK,60.2,522420000000.0,8678073089.700996,Sep 2022,01-09-2022,0.0,EQUAL
President Of India,432730,President Of India,93.08,532885,CENTRALBK,60.2,522420000000.0,8678073089.700996,Dec 2022,01-12-2022,0.0,EQUAL
President Of India,432731,President Of India,93.08,532885,CENTRALBK,60.2,522420000000.0,8678073089.700996,Mar 2023,01-03-2023,0.0,EQUAL
President Of India,432732,President Of India,93.08,532885,CENTRALBK,60.2,522420000000.0,8678073089.700996,Jun 2023,01-06-2023,0.0,EQUAL
President Of India,432733,President Of India,93.08,532885,CENTRALBK,60.2,522420000000.0,8678073089.700996,Sep 2023,01-09-2023,0.0,EQUAL
President Of India,432734,President Of India,93.08,532885,CENTRALBK,60.2,522420000000.0,8678073089.700996,Dec 2023,01-12-2023,0.0,EQUAL
President Of India,432735,President Of India,93.08,532885,CENTRALBK,60.2,522420000000.0,8678073089.700996,Mar 2024,01-03-2024,0.0,EQUAL
President Of India,432736,President Of India,93.08,532885,CENTRALBK,60.2,522420000000.0,8678073089.700996,Jun 2024,01-06-2024,0.0,EQUAL
President Of India,457502,President Of India,51.85,532155,GAIL,229.0,1508790000000.0,6588602620.087337,Sep 2021,01-09-2021,-44.29522990975505,Down
President Of India,457503,President Of India,51.8,532155,GAIL,229.0,1508790000000.0,6588602620.087337,Dec 2021,01-12-2021,-0.0964320154291265,Down
President Of India,457504,President Of India,51.8,532155,GAIL,229.0,1508790000000.0,6588602620.087337,Mar 2022,01-03-2022,0.0,EQUAL
President Of India,457505,President Of India,51.89,532155,GAIL,229.0,1508790000000.0,6588602620.087337,Jun 2022,01-06-2022,0.17374517374517673,UP
President Of India,457506,President Of India,51.9,532155,GAIL,229.0,1508790000000.0,6588602620.087337,Sep 2022,01-09-2022,0.019271535941411955,UP
President Of India,457507,President Of India,51.91,532155,GAIL,229.0,1508790000000.0,6588602620.087337,Dec 2022,01-12-2022,0.019267822736024343,UP
President Of India,457508,President Of India,51.91,532155,GAIL,229.0,1508790000000.0,6588602620.087337,Mar 2023,01-03-2023,0.0,EQUAL
President Of India,457509,President Of India,51.91,532155,GAIL,229.0,1508790000000.0,6588602620.087337,Jun 2023,01-06-2023,0.0,EQUAL
President Of India,457510,President Of India,51.91,532155,GAIL,229.0,1508790000000.0,6588602620.087337,Sep 2023,01-09-2023,0.0,EQUAL
President Of India,457511,President Of India,51.9,532155,GAIL,229.0,1508790000000.0,6588602620.087337,Dec 2023,01-12-2023,-0.01926411096127012,Down
President Of India,457512,President Of India,51.9,532155,GAIL,229.0,1508790000000.0,6588602620.087337,Mar 2024,01-03-2024,0.0,EQUAL
President Of India,457513,President Of India,51.92,532155,GAIL,229.0,1508790000000.0,6588602620.087337,Jun 2024,01-06-2024,0.03853564547207089,UP
President Of India,471396,President Of India,78.2,542649,RVNL,573.0,1194090000000.0,2083926701.5706809,Sep 2021,01-09-2021,50.61633281972264,UP
President Of India,471397,President Of India,78.2,542649,RVNL,573.0,1194090000000.0,2083926701.5706809,Dec 2021,01-12-2021,0.0,EQUAL
President Of India,471398,President Of India,78.2,542649,RVNL,573.0,1194090000000.0,2083926701.5706809,Mar 2022,01-03-2022,0.0,EQUAL
President Of India,471399,President Of India,78.2,542649,RVNL,573.0,1194090000000.0,2083926701.5706809,Jun 2022,01-06-2022,0.0,EQUAL
President Of India,471400,President Of India,78.2,542649,RVNL,573.0,1194090000000.0,2083926701.5706809,Sep 2022,01-09-2022,0.0,EQUAL
President Of India,471401,President Of India,78.2,542649,RVNL,573.0,1194090000000.0,2083926701.5706809,Dec 2022,01-12-2022,0.0,EQUAL
President Of India,471402,President Of India,78.2,542649,RVNL,573.0,1194090000000.0,2083926701.5706809,Mar 2023,01-03-2023,0.0,EQUAL
President Of India,471403,President Of India,78.2,542649,RVNL,573.0,1194090000000.0,2083926701.5706809,Jun 2023,01-06-2023,0.0,EQUAL
President Of India,471404,President Of India,72.84,542649,RVNL,573.0,1194090000000.0,2083926701.5706809,Sep 2023,01-09-2023,-6.854219948849105,Down
President Of India,471405,President Of India,72.84,542649,RVNL,573.0,1194090000000.0,2083926701.5706809,Dec 2023,01-12-2023,0.0,EQUAL
President Of India,471406,President Of India,72.84,542649,RVNL,573.0,1194090000000.0,2083926701.5706809,Mar 2024,01-03-2024,0.0,EQUAL
President Of India,471407,President Of India,72.84,542649,RVNL,573.0,1194090000000.0,2083926701.5706809,Jun 2024,01-06-2024,0.0,EQUAL
President Of India,472291,President Of India,51.12,543242,HEMIPROP,200.0,56970000000.0,284850000.0,Sep 2021,01-09-2021,-29.8187808896211,Down
President Of India,472293,President Of India,51.12,543242,HEMIPROP,200.0,56970000000.0,284850000.0,Mar 2022,01-03-2022,0.0,EQUAL
President Of India,472294,President Of India,51.12,543242,HEMIPROP,200.0,56970000000.0,284850000.0,Jun 2022,01-06-2022,0.0,EQUAL
President Of India,472295,President Of India,51.12,543242,HEMIPROP,200.0,56970000000.0,284850000.0,Sep 2022,01-09-2022,0.0,EQUAL
President Of India,472296,President Of India,51.12,543242,HEMIPROP,200.0,56970000000.0,284850000.0,Dec 2022,01-12-2022,0.0,EQUAL
President Of India,472297,President Of India,51.12,543242,HEMIPROP,200.0,56970000000.0,284850000.0,Mar 2023,01-03-2023,0.0,EQUAL
President Of India,472298,President Of India,51.12,543242,HEMIPROP,200.0,56970000000.0,284850000.0,Jun 2023,01-06-2023,0.0,EQUAL
President Of India,472299,President Of India,51.12,543242,HEMIPROP,200.0,56970000000.0,284850000.0,Sep 2023,01-09-2023,0.0,EQUAL
President Of India,472300,President Of India,51.12,543242,HEMIPROP,200.0,56970000000.0,284850000.0,Dec 2023,01-12-2023,0.0,EQUAL
President Of India,472301,President Of India,51.12,543242,HEMIPROP,200.0,56970000000.0,284850000.0,Mar 2024,01-03-2024,0.0,EQUAL
President Of India,472302,President Of India,51.12,543242,HEMIPROP,200.0,56970000000.0,284850000.0,Jun 2024,01-06-2024,0.0,EQUAL
President Of India,475308,President Of India,74.93,541143,BDL,1316.0,482300000000.0,366489361.7021277,Sep 2021,01-09-2021,46.576682316118955,UP
President Of India,475309,President Of India,74.93,541143,BDL,1316.0,482300000000.0,366489361.7021277,Dec 2021,01-12-2021,0.0,EQUAL
President Of India,475310,President Of India,74.93,541143,BDL,1316.0,482300000000.0,366489361.7021277,Mar 2022,01-03-2022,0.0,EQUAL
President Of India,475311,President Of India,74.93,541143,BDL,1316.0,482300000000.0,366489361.7021277,Jun 2022,01-06-2022,0.0,EQUAL
President Of India,475312,President Of India,74.93,541143,BDL,1316.0,482300000000.0,366489361.7021277,Sep 2022,01-09-2022,0.0,EQUAL
President Of India,475313,President Of India,74.93,541143,BDL,1316.0,482300000000.0,366489361.7021277,Dec 2022,01-12-2022,0.0,EQUAL
President Of India,475314,President Of India,74.93,541143,BDL,1316.0,482300000000.0,366489361.7021277,Mar 2023,01-03-2023,0.0,EQUAL
President Of India,475315,President Of India,74.93,541143,BDL,1316.0,482300000000.0,366489361.7021277,Jun 2023,01-06-2023,0.0,EQUAL
President Of India,475316,President Of India,74.93,541143,BDL,1316.0,482300000000.0,366489361.7021277,Sep 2023,01-09-2023,0.0,EQUAL
President Of India,475317,President Of India,74.93,541143,BDL,1316.0,482300000000.0,366489361.7021277,Dec 2023,01-12-2023,0.0,EQUAL
President Of India,475318,President Of India,74.93,541143,BDL,1316.0,482300000000.0,366489361.7021277,Mar 2024,01-03-2024,0.0,EQUAL
President Of India,475319,President Of India,74.93,541143,BDL,1316.0,482300000000.0,366489361.7021277,Jun 2024,01-06-2024,0.0,EQUAL
